GEO_ID,NAME,P003001,P003002,P003003,P003004,P003005,P003006,P003007,P003008
Geography,Geographic Area Name,Total,Total!!White alone,Total!!Black or African American alone,Total!!American Indian and Alaska Native alone,Total!!Asian alone,Total!!Native Hawaiian and Other Pacific Islander alone,Total!!Some Other Race alone,Total!!Two or More Races
1400000US06085503711,"Census Tract 5037.11, Santa Clara County, California",4763,1567,94,46,720,19,2126,191
1400000US06085503712,"Census Tract 5037.12, Santa Clara County, California",4108,934,122,51,1847,10,941,203
1400000US06085503713,"Census Tract 5037.13, Santa Clara County, California",2974,960,116,43,803,2,909,141
1400000US06085503802,"Census Tract 5038.02, Santa Clara County, California",7884,3041,227,70,2638,58,1435,415
1400000US06085503803,"Census Tract 5038.03, Santa Clara County, California",4477,953,123,17,2832,16,368,168
1400000US06085503804,"Census Tract 5038.04, Santa Clara County, California",4980,1287,186,36,2558,23,687,203
1400000US06085503902,"Census Tract 5039.02, Santa Clara County, California",5440,2330,95,92,1012,23,1566,322
1400000US06085503903,"Census Tract 5039.03, Santa Clara County, California",3301,1104,45,51,1142,8,819,132
1400000US06085504001,"Census Tract 5040.01, Santa Clara County, California",6017,2231,136,92,1093,21,2143,301
1400000US06085504002,"Census Tract 5040.02, Santa Clara County, California",5875,1721,174,81,1507,53,2088,251
1400000US06085504101,"Census Tract 5041.01, Santa Clara County, California",4273,1584,100,97,748,41,1431,272
1400000US06085504102,"Census Tract 5041.02, Santa Clara County, California",5480,2248,89,92,781,15,1966,289
1400000US06085504201,"Census Tract 5042.01, Santa Clara County, California",4779,2890,116,50,795,13,669,246
1400000US06085504202,"Census Tract 5042.02, Santa Clara County, California",4530,2479,155,24,989,25,626,232
1400000US06085504307,"Census Tract 5043.07, Santa Clara County, California",5563,1157,148,33,3552,20,400,253
1400000US06085504308,"Census Tract 5043.08, Santa Clara County, California",4415,1725,124,8,2040,22,250,246
1400000US06085504311,"Census Tract 5043.11, Santa Clara County, California",7062,753,120,23,5665,29,261,211
1400000US06085504314,"Census Tract 5043.14, Santa Clara County, California",4753,1045,107,28,3056,33,266,218
1400000US06085504315,"Census Tract 5043.15, Santa Clara County, California",6562,1678,224,29,3897,30,375,329
1400000US06085504316,"Census Tract 5043.16, Santa Clara County, California",4839,862,131,24,3279,38,353,152
