GEO_ID,NAME,H1_001N
Geography,Geographic Area Name, !!Total
1400000US06085506603,Census Tract 5066.03; Santa Clara County; California,1428
1400000US06085506604,Census Tract 5066.04; Santa Clara County; California,2688
1400000US06085506605,Census Tract 5066.05; Santa Clara County; California,1648
1400000US06085506606,Census Tract 5066.06; Santa Clara County; California,1744
1400000US06085506701,Census Tract 5067.01; Santa Clara County; California,1404
1400000US06085506702,Census Tract 5067.02; Santa Clara County; California,2170
1400000US06085506703,Census Tract 5067.03; Santa Clara County; California,1504
1400000US06085506801,Census Tract 5068.01; Santa Clara County; California,2361
1400000US06085506802,Census Tract 5068.02; Santa Clara County; California,1958
1400000US06085506803,Census Tract 5068.03; Santa Clara County; California,2459
1400000US06085506804,Census Tract 5068.04; Santa Clara County; California,1384
1400000US06085506900,Census Tract 5069; Santa Clara County; California,2862
1400000US06085507002,Census Tract 5070.02; Santa Clara County; California,1083
1400000US06085507003,Census Tract 5070.03; Santa Clara County; California,1281
1400000US06085507004,Census Tract 5070.04; Santa Clara County; California,2028
1400000US06085507100,Census Tract 5071; Santa Clara County; California,1438
1400000US06085507203,Census Tract 5072.03; Santa Clara County; California,1201
1400000US06085507205,Census Tract 5072.05; Santa Clara County; California,1956
1400000US06085507206,Census Tract 5072.06; Santa Clara County; California,1081
1400000US06085507301,Census Tract 5073.01; Santa Clara County; California,2572
1400000US06085507302,Census Tract 5073.02; Santa Clara County; California,1081
1400000US06085507401,Census Tract 5074.01; Santa Clara County; California,1976
1400000US06085507402,Census Tract 5074.02; Santa Clara County; California,1526
1400000US06085507500,Census Tract 5075; Santa Clara County; California,2057
1400000US06085507600,Census Tract 5076; Santa Clara County; California,2124
1400000US06085507701,Census Tract 5077.01; Santa Clara County; California,1416
1400000US06085507702,Census Tract 5077.02; Santa Clara County; California,2106
1400000US06085507704,Census Tract 5077.04; Santa Clara County; California,1380
1400000US06085507705,Census Tract 5077.05; Santa Clara County; California,1558
1400000US06085507805,Census Tract 5078.05; Santa Clara County; California,2138
1400000US06085507806,Census Tract 5078.06; Santa Clara County; California,2046
1400000US06085507807,Census Tract 5078.07; Santa Clara County; California,1063
1400000US06085507808,Census Tract 5078.08; Santa Clara County; California,1847
