GEO_ID,NAME,P1_001N
Geography,Geographic Area Name, !!Total
1400000US06085500100,Census Tract 5001; Santa Clara County; California,7969
1400000US06085503331,Census Tract 5033.31; Santa Clara County; California,3273
1400000US06085503332,Census Tract 5033.32; Santa Clara County; California,5435
1400000US06085503333,Census Tract 5033.33; Santa Clara County; California,4714
1400000US06085503336,Census Tract 5033.36; Santa Clara County; California,3370
1400000US06085503337,Census Tract 5033.37; Santa Clara County; California,3851
1400000US06085503338,Census Tract 5033.38; Santa Clara County; California,4726
1400000US06085503339,Census Tract 5033.39; Santa Clara County; California,4047
1400000US06085503401,Census Tract 5034.01; Santa Clara County; California,4910
1400000US06085503402,Census Tract 5034.02; Santa Clara County; California,4843
1400000US06085503504,Census Tract 5035.04; Santa Clara County; California,5888
1400000US06085503506,Census Tract 5035.06; Santa Clara County; California,6180
1400000US06085503507,Census Tract 5035.07; Santa Clara County; California,2224
1400000US06085503508,Census Tract 5035.08; Santa Clara County; California,6172
1400000US06085503509,Census Tract 5035.09; Santa Clara County; California,3897
1400000US06085503510,Census Tract 5035.10; Santa Clara County; California,5901
1400000US06085503511,Census Tract 5035.11; Santa Clara County; California,3622
1400000US06085503601,Census Tract 5036.01; Santa Clara County; California,2993
1400000US06085503602,Census Tract 5036.02; Santa Clara County; California,4735
1400000US06085503703,Census Tract 5037.03; Santa Clara County; California,3927
1400000US06085503707,Census Tract 5037.07; Santa Clara County; California,5406
1400000US06085503708,Census Tract 5037.08; Santa Clara County; California,2686
1400000US06085503709,Census Tract 5037.09; Santa Clara County; California,6878
1400000US06085503710,Census Tract 5037.10; Santa Clara County; California,3836
1400000US06085503711,Census Tract 5037.11; Santa Clara County; California,4632
1400000US06085503712,Census Tract 5037.12; Santa Clara County; California,4217
1400000US06085503713,Census Tract 5037.13; Santa Clara County; California,3014
1400000US06085503802,Census Tract 5038.02; Santa Clara County; California,8208
1400000US06085503803,Census Tract 5038.03; Santa Clara County; California,4617
1400000US06085503804,Census Tract 5038.04; Santa Clara County; California,5700
1400000US06085503902,Census Tract 5039.02; Santa Clara County; California,6023
1400000US06085503903,Census Tract 5039.03; Santa Clara County; California,3289
1400000US06085504001,Census Tract 5040.01; Santa Clara County; California,6022
1400000US06085504002,Census Tract 5040.02; Santa Clara County; California,5908
1400000US06085504101,Census Tract 5041.01; Santa Clara County; California,4217
1400000US06085504102,Census Tract 5041.02; Santa Clara County; California,5818
1400000US06085504201,Census Tract 5042.01; Santa Clara County; California,5269
1400000US06085504202,Census Tract 5042.02; Santa Clara County; California,4896
1400000US06085504307,Census Tract 5043.07; Santa Clara County; California,5722
1400000US06085504308,Census Tract 5043.08; Santa Clara County; California,4613
1400000US06085504311,Census Tract 5043.11; Santa Clara County; California,8308
1400000US06085504314,Census Tract 5043.14; Santa Clara County; California,4745
1400000US06085504315,Census Tract 5043.15; Santa Clara County; California,6696
1400000US06085504316,Census Tract 5043.16; Santa Clara County; California,4902
1400000US06085504317,Census Tract 5043.17; Santa Clara County; California,4312
1400000US06085504318,Census Tract 5043.18; Santa Clara County; California,7427
1400000US06085504319,Census Tract 5043.19; Santa Clara County; California,7917
1400000US06085504320,Census Tract 5043.20; Santa Clara County; California,2866
1400000US06085504321,Census Tract 5043.21; Santa Clara County; California,5419
1400000US06085504322,Census Tract 5043.22; Santa Clara County; California,5505
1400000US06085504323,Census Tract 5043.23; Santa Clara County; California,5738
1400000US06085504410,Census Tract 5044.10; Santa Clara County; California,4282
1400000US06085504411,Census Tract 5044.11; Santa Clara County; California,5350
1400000US06085504412,Census Tract 5044.12; Santa Clara County; California,4703
1400000US06085504413,Census Tract 5044.13; Santa Clara County; California,1906
1400000US06085504414,Census Tract 5044.14; Santa Clara County; California,5059
1400000US06085504415,Census Tract 5044.15; Santa Clara County; California,5218
1400000US06085504416,Census Tract 5044.16; Santa Clara County; California,3758
1400000US06085504418,Census Tract 5044.18; Santa Clara County; California,4852
1400000US06085504421,Census Tract 5044.21; Santa Clara County; California,4804
1400000US06085504422,Census Tract 5044.22; Santa Clara County; California,3680
1400000US06085504423,Census Tract 5044.23; Santa Clara County; California,2307
1400000US06085504424,Census Tract 5044.24; Santa Clara County; California,4869
1400000US06085504505,Census Tract 5045.05; Santa Clara County; California,11204
1400000US06085504506,Census Tract 5045.06; Santa Clara County; California,6951
1400000US06085504507,Census Tract 5045.07; Santa Clara County; California,5973
1400000US06085504508,Census Tract 5045.08; Santa Clara County; California,3810
1400000US06085504509,Census Tract 5045.09; Santa Clara County; California,5600
1400000US06085504510,Census Tract 5045.10; Santa Clara County; California,4119
1400000US06085504601,Census Tract 5046.01; Santa Clara County; California,1031
1400000US06085504602,Census Tract 5046.02; Santa Clara County; California,2056
1400000US06085504700,Census Tract 5047; Santa Clara County; California,661
1400000US06085504802,Census Tract 5048.02; Santa Clara County; California,5393
1400000US06085504805,Census Tract 5048.05; Santa Clara County; California,7454
1400000US06085504806,Census Tract 5048.06; Santa Clara County; California,2776
