GEO_ID,NAME,B25001_001M,B25001_001E
Geography,Geographic Area Name,Margin of Error!!Total,Estimate!!Total
1400000US06085507203,"Census Tract 5072.03, Santa Clara County, California",68,971
1400000US06085507205,"Census Tract 5072.05, Santa Clara County, California",75,1965
1400000US06085507206,"Census Tract 5072.06, Santa Clara County, California",80,975
1400000US06085507301,"Census Tract 5073.01, Santa Clara County, California",82,2470
1400000US06085507302,"Census Tract 5073.02, Santa Clara County, California",42,1053
1400000US06085507401,"Census Tract 5074.01, Santa Clara County, California",55,1879
1400000US06085507402,"Census Tract 5074.02, Santa Clara County, California",40,1496
1400000US06085507500,"Census Tract 5075, Santa Clara County, California",55,1991
1400000US06085507600,"Census Tract 5076, Santa Clara County, California",58,2052
1400000US06085507701,"Census Tract 5077.01, Santa Clara County, California",63,1398
1400000US06085507702,"Census Tract 5077.02, Santa Clara County, California",46,2118
1400000US06085507703,"Census Tract 5077.03, Santa Clara County, California",119,2657
1400000US06085507805,"Census Tract 5078.05, Santa Clara County, California",76,1863
1400000US06085507806,"Census Tract 5078.06, Santa Clara County, California",50,2059
1400000US06085507807,"Census Tract 5078.07, Santa Clara County, California",23,1061
1400000US06085507808,"Census Tract 5078.08, Santa Clara County, California",72,1823
1400000US06085507903,"Census Tract 5079.03, Santa Clara County, California",23,1655
1400000US06085507904,"Census Tract 5079.04, Santa Clara County, California",16,1117
1400000US06085507905,"Census Tract 5079.05, Santa Clara County, California",41,2223
1400000US06085507906,"Census Tract 5079.06, Santa Clara County, California",48,1424
1400000US06085508001,"Census Tract 5080.01, Santa Clara County, California",72,2922
1400000US06085508003,"Census Tract 5080.03, Santa Clara County, California",23,763
1400000US06085508004,"Census Tract 5080.04, Santa Clara County, California",92,2238
1400000US06085508101,"Census Tract 5081.01, Santa Clara County, California",54,2413
1400000US06085508102,"Census Tract 5081.02, Santa Clara County, California",47,1198
1400000US06085508202,"Census Tract 5082.02, Santa Clara County, California",48,2939
1400000US06085508203,"Census Tract 5082.03, Santa Clara County, California",29,1873
1400000US06085508204,"Census Tract 5082.04, Santa Clara County, California",34,1552
1400000US06085508301,"Census Tract 5083.01, Santa Clara County, California",33,1566
1400000US06085508303,"Census Tract 5083.03, Santa Clara County, California",25,915
1400000US06085508304,"Census Tract 5083.04, Santa Clara County, California",80,3025
1400000US06085508401,"Census Tract 5084.01, Santa Clara County, California",82,2536
1400000US06085508403,"Census Tract 5084.03, Santa Clara County, California",28,1049
1400000US06085508404,"Census Tract 5084.04, Santa Clara County, California",43,2443
1400000US06085508503,"Census Tract 5085.03, Santa Clara County, California",42,2924
1400000US06085508504,"Census Tract 5085.04, Santa Clara County, California",57,3329
1400000US06085508505,"Census Tract 5085.05, Santa Clara County, California",75,2013
1400000US06085508507,"Census Tract 5085.07, Santa Clara County, California",39,1543
1400000US06085508508,"Census Tract 5085.08, Santa Clara County, California",36,1933
1400000US06085508601,"Census Tract 5086.01, Santa Clara County, California",25,1446
1400000US06085508602,"Census Tract 5086.02, Santa Clara County, California",117,1867
1400000US06085508703,"Census Tract 5087.03, Santa Clara County, California",54,3178
1400000US06085508704,"Census Tract 5087.04, Santa Clara County, California",53,2414
1400000US06085508800,"Census Tract 5088, Santa Clara County, California",32,1509
1400000US06085508900,"Census Tract 5089, Santa Clara County, California",43,1855
1400000US06085509000,"Census Tract 5090, Santa Clara County, California",58,2613
1400000US06085509102,"Census Tract 5091.02, Santa Clara County, California",46,2487
1400000US06085509105,"Census Tract 5091.05, Santa Clara County, California",93,3075
1400000US06085509106,"Census Tract 5091.06, Santa Clara County, California",39,1788
1400000US06085509107,"Census Tract 5091.07, Santa Clara County, California",38,2057
1400000US06085509108,"Census Tract 5091.08, Santa Clara County, California",89,1842
1400000US06085509109,"Census Tract 5091.09, Santa Clara County, California",69,1865
1400000US06085509201,"Census Tract 5092.01, Santa Clara County, California",58,2498
1400000US06085509202,"Census Tract 5092.02, Santa Clara County, California",51,1816
1400000US06085509302,"Census Tract 5093.02, Santa Clara County, California",37,1211
1400000US06085509303,"Census Tract 5093.03, Santa Clara County, California",70,1800
1400000US06085509304,"Census Tract 5093.04, Santa Clara County, California",67,1174
1400000US06085509401,"Census Tract 5094.01, Santa Clara County, California",68,1623
1400000US06085509403,"Census Tract 5094.03, Santa Clara County, California",57,2071
1400000US06085509404,"Census Tract 5094.04, Santa Clara County, California",73,2758
1400000US06085509500,"Census Tract 5095, Santa Clara County, California",68,2323
1400000US06085509600,"Census Tract 5096, Santa Clara County, California",36,1407
1400000US06085509700,"Census Tract 5097, Santa Clara County, California",56,1414
1400000US06085509801,"Census Tract 5098.01, Santa Clara County, California",92,2129
1400000US06085509802,"Census Tract 5098.02, Santa Clara County, California",30,1123
1400000US06085509901,"Census Tract 5099.01, Santa Clara County, California",48,673
1400000US06085509902,"Census Tract 5099.02, Santa Clara County, California",62,1837
1400000US06085510001,"Census Tract 5100.01, Santa Clara County, California",46,2135
1400000US06085510002,"Census Tract 5100.02, Santa Clara County, California",33,1316
1400000US06085510100,"Census Tract 5101, Santa Clara County, California",37,1118
1400000US06085510200,"Census Tract 5102, Santa Clara County, California",52,1545
1400000US06085510300,"Census Tract 5103, Santa Clara County, California",67,1738
1400000US06085510400,"Census Tract 5104, Santa Clara County, California",42,1133
1400000US06085510500,"Census Tract 5105, Santa Clara County, California",63,1870
1400000US06085510600,"Census Tract 5106, Santa Clara County, California",103,2416
1400000US06085510700,"Census Tract 5107, Santa Clara County, California",49,1952
1400000US06085510801,"Census Tract 5108.01, Santa Clara County, California",83,1769
1400000US06085510802,"Census Tract 5108.02, Santa Clara County, California",20,759
1400000US06085510803,"Census Tract 5108.03, Santa Clara County, California",26,1054
1400000US06085510900,"Census Tract 5109, Santa Clara County, California",69,2047
1400000US06085511000,"Census Tract 5110, Santa Clara County, California",86,2418
1400000US06085511100,"Census Tract 5111, Santa Clara County, California",43,1938
1400000US06085511200,"Census Tract 5112, Santa Clara County, California",58,1828
1400000US06085511301,"Census Tract 5113.01, Santa Clara County, California",116,1727
1400000US06085511302,"Census Tract 5113.02, Santa Clara County, California",111,2484
1400000US06085511400,"Census Tract 5114, Santa Clara County, California",36,1478
1400000US06085511500,"Census Tract 5115, Santa Clara County, California",113,3017
1400000US06085511608,"Census Tract 5116.08, Santa Clara County, California",82,239
1400000US06085511609,"Census Tract 5116.09, Santa Clara County, California",50,1975
1400000US06085511701,"Census Tract 5117.01, Santa Clara County, California",71,1479
1400000US06085511702,"Census Tract 5117.02, Santa Clara County, California",62,962
1400000US06085511704,"Census Tract 5117.04, Santa Clara County, California",108,1649
1400000US06085511705,"Census Tract 5117.05, Santa Clara County, California",33,340
1400000US06085511707,"Census Tract 5117.07, Santa Clara County, California",37,1264
1400000US06085511800,"Census Tract 5118, Santa Clara County, California",97,1697
1400000US06085511905,"Census Tract 5119.05, Santa Clara County, California",15,1110
1400000US06085511907,"Census Tract 5119.07, Santa Clara County, California",23,1346
1400000US06085511909,"Census Tract 5119.09, Santa Clara County, California",33,2715
1400000US06085511910,"Census Tract 5119.10, Santa Clara County, California",16,1078
1400000US06085511911,"Census Tract 5119.11, Santa Clara County, California",75,1852
1400000US06085511912,"Census Tract 5119.12, Santa Clara County, California",31,1769
1400000US06085511913,"Census Tract 5119.13, Santa Clara County, California",23,1456
1400000US06085511914,"Census Tract 5119.14, Santa Clara County, California",37,1995
1400000US06085511915,"Census Tract 5119.15, Santa Clara County, California",21,1302
1400000US06085511916,"Census Tract 5119.16, Santa Clara County, California",50,1690
1400000US06085512001,"Census Tract 5120.01, Santa Clara County, California",45,2021
1400000US06085512005,"Census Tract 5120.05, Santa Clara County, California",28,2224
1400000US06085512017,"Census Tract 5120.17, Santa Clara County, California",43,2223
1400000US06085512019,"Census Tract 5120.19, Santa Clara County, California",36,1607
1400000US06085512020,"Census Tract 5120.20, Santa Clara County, California",74,2817
1400000US06085512021,"Census Tract 5120.21, Santa Clara County, California",36,2102
1400000US06085512022,"Census Tract 5120.22, Santa Clara County, California",24,1899
1400000US06085512023,"Census Tract 5120.23, Santa Clara County, California",29,2030
1400000US06085512024,"Census Tract 5120.24, Santa Clara County, California",37,1754
1400000US06085512025,"Census Tract 5120.25, Santa Clara County, California",23,1087
1400000US06085512026,"Census Tract 5120.26, Santa Clara County, California",30,1413
1400000US06085512027,"Census Tract 5120.27, Santa Clara County, California",31,1640
1400000US06085512029,"Census Tract 5120.29, Santa Clara County, California",51,2392
1400000US06085512030,"Census Tract 5120.30, Santa Clara County, California",22,997
1400000US06085512031,"Census Tract 5120.31, Santa Clara County, California",26,1408
1400000US06085512032,"Census Tract 5120.32, Santa Clara County, California",26,1054
1400000US06085512033,"Census Tract 5120.33, Santa Clara County, California",83,2004
1400000US06085512034,"Census Tract 5120.34, Santa Clara County, California",17,1054
1400000US06085512035,"Census Tract 5120.35, Santa Clara County, California",27,1392
1400000US06085512036,"Census Tract 5120.36, Santa Clara County, California",57,1777
1400000US06085512037,"Census Tract 5120.37, Santa Clara County, California",23,1012
1400000US06085512038,"Census Tract 5120.38, Santa Clara County, California",26,1120
1400000US06085512039,"Census Tract 5120.39, Santa Clara County, California",48,1361
1400000US06085512042,"Census Tract 5120.42, Santa Clara County, California",22,857
1400000US06085512043,"Census Tract 5120.43, Santa Clara County, California",33,1671
1400000US06085512045,"Census Tract 5120.45, Santa Clara County, California",24,1870
1400000US06085512047,"Census Tract 5120.47, Santa Clara County, California",33,1768
1400000US06085512052,"Census Tract 5120.52, Santa Clara County, California",30,1819
1400000US06085512053,"Census Tract 5120.53, Santa Clara County, California",27,1613
1400000US06085512100,"Census Tract 5121, Santa Clara County, California",59,475
1400000US06085512200,"Census Tract 5122, Santa Clara County, California",92,1573
1400000US06085512305,"Census Tract 5123.05, Santa Clara County, California",40,1342
1400000US06085512307,"Census Tract 5123.07, Santa Clara County, California",89,2394
1400000US06085512308,"Census Tract 5123.08, Santa Clara County, California",105,2186
1400000US06085512309,"Census Tract 5123.09, Santa Clara County, California",64,1731
1400000US06085512310,"Census Tract 5123.10, Santa Clara County, California",101,1317
1400000US06085512311,"Census Tract 5123.11, Santa Clara County, California",61,1097
1400000US06085512312,"Census Tract 5123.12, Santa Clara County, California",66,932
1400000US06085512313,"Census Tract 5123.13, Santa Clara County, California",57,1200
1400000US06085512314,"Census Tract 5123.14, Santa Clara County, California",84,2101
1400000US06085512401,"Census Tract 5124.01, Santa Clara County, California",70,1422
1400000US06085512402,"Census Tract 5124.02, Santa Clara County, California",108,1515
1400000US06085512503,"Census Tract 5125.03, Santa Clara County, California",126,2464
1400000US06085512505,"Census Tract 5125.05, Santa Clara County, California",81,2137
1400000US06085512506,"Census Tract 5125.06, Santa Clara County, California",89,1842
1400000US06085512508,"Census Tract 5125.08, Santa Clara County, California",115,2620
1400000US06085512509,"Census Tract 5125.09, Santa Clara County, California",53,1188
1400000US06085512510,"Census Tract 5125.10, Santa Clara County, California",99,2116
1400000US06085512602,"Census Tract 5126.02, Santa Clara County, California",80,830
1400000US06085512603,"Census Tract 5126.03, Santa Clara County, California",56,1056
1400000US06085512604,"Census Tract 5126.04, Santa Clara County, California",50,1108
1400000US06085513000,"Census Tract 5130, Santa Clara County, California",236,2218
1400000US06085513500,"Census Tract 5135, Santa Clara County, California",88,301
