"GEO_ID","NAME","P001001",
"Geography","Geographic Area Name","Total",
"1400000US06085504315","Census Tract 5043.15, Santa Clara County, California","6562",
"1400000US06085504316","Census Tract 5043.16, Santa Clara County, California","4839",
"1400000US06085504317","Census Tract 5043.17, Santa Clara County, California","4429",
"1400000US06085504318","Census Tract 5043.18, Santa Clara County, California","5265",
"1400000US06085504319","Census Tract 5043.19, Santa Clara County, California","6936",
"1400000US06085504320","Census Tract 5043.20, Santa Clara County, California","2903",
"1400000US06085504321","Census Tract 5043.21, Santa Clara County, California","5346",
"1400000US06085504322","Census Tract 5043.22, Santa Clara County, California","5263",
"1400000US06085504323","Census Tract 5043.23, Santa Clara County, California","5741",
"1400000US06085504410","Census Tract 5044.10, Santa Clara County, California","4431",
"1400000US06085504411","Census Tract 5044.11, Santa Clara County, California","5450",
"1400000US06085504412","Census Tract 5044.12, Santa Clara County, California","4901",
"1400000US06085504413","Census Tract 5044.13, Santa Clara County, California","1714",
"1400000US06085504414","Census Tract 5044.14, Santa Clara County, California","5092",
"1400000US06085504415","Census Tract 5044.15, Santa Clara County, California","5116",
"1400000US06085504416","Census Tract 5044.16, Santa Clara County, California","3591",
"1400000US06085504417","Census Tract 5044.17, Santa Clara County, California","323",
"1400000US06085504418","Census Tract 5044.18, Santa Clara County, California","4883",
"1400000US06085504420","Census Tract 5044.20, Santa Clara County, California","4555",
"1400000US06085504421","Census Tract 5044.21, Santa Clara County, California","4733",
"1400000US06085504422","Census Tract 5044.22, Santa Clara County, California","3672",
"1400000US06085504423","Census Tract 5044.23, Santa Clara County, California","2373",
"1400000US06085504504","Census Tract 5045.04, Santa Clara County, California","9882",
"1400000US06085504505","Census Tract 5045.05, Santa Clara County, California","4418",
"1400000US06085504506","Census Tract 5045.06, Santa Clara County, California","5924",
"1400000US06085504507","Census Tract 5045.07, Santa Clara County, California","5768",
"1400000US06085504601","Census Tract 5046.01, Santa Clara County, California","817",
"1400000US06085504602","Census Tract 5046.02, Santa Clara County, California","2144",
"1400000US06085504700","Census Tract 5047, Santa Clara County, California","719",
"1400000US06085504802","Census Tract 5048.02, Santa Clara County, California","5242",
"1400000US06085504803","Census Tract 5048.03, Santa Clara County, California","5756",
"1400000US06085504805","Census Tract 5048.05, Santa Clara County, California","5294",
