"GEO_ID","NAME","H001001",
"Geography","Geographic Area Name","Total",
"1400000US06085508508","Census Tract 5085.08, Santa Clara County, California","1997",
"1400000US06085508601","Census Tract 5086.01, Santa Clara County, California","1415",
"1400000US06085508602","Census Tract 5086.02, Santa Clara County, California","1850",
"1400000US06085508703","Census Tract 5087.03, Santa Clara County, California","3167",
"1400000US06085508704","Census Tract 5087.04, Santa Clara County, California","2363",
"1400000US06085508800","Census Tract 5088, Santa Clara County, California","1473",
"1400000US06085508900","Census Tract 5089, Santa Clara County, California","1733",
"1400000US06085509000","Census Tract 5090, Santa Clara County, California","2565",
"1400000US06085509102","Census Tract 5091.02, Santa Clara County, California","2357",
"1400000US06085509105","Census Tract 5091.05, Santa Clara County, California","3216",
"1400000US06085509106","Census Tract 5091.06, Santa Clara County, California","1806",
"1400000US06085509107","Census Tract 5091.07, Santa Clara County, California","2029",
"1400000US06085509108","Census Tract 5091.08, Santa Clara County, California","1983",
"1400000US06085509109","Census Tract 5091.09, Santa Clara County, California","1965",
"1400000US06085509201","Census Tract 5092.01, Santa Clara County, California","2558",
"1400000US06085509202","Census Tract 5092.02, Santa Clara County, California","1906",
"1400000US06085509302","Census Tract 5093.02, Santa Clara County, California","1250",
"1400000US06085509303","Census Tract 5093.03, Santa Clara County, California","1920",
"1400000US06085509304","Census Tract 5093.04, Santa Clara County, California","1326",
"1400000US06085509401","Census Tract 5094.01, Santa Clara County, California","1704",
"1400000US06085509403","Census Tract 5094.03, Santa Clara County, California","2159",
"1400000US06085509404","Census Tract 5094.04, Santa Clara County, California","2610",
"1400000US06085509500","Census Tract 5095, Santa Clara County, California","2379",
"1400000US06085509600","Census Tract 5096, Santa Clara County, California","1374",
"1400000US06085509700","Census Tract 5097, Santa Clara County, California","1504",
"1400000US06085509801","Census Tract 5098.01, Santa Clara County, California","2303",
"1400000US06085509802","Census Tract 5098.02, Santa Clara County, California","1144",
"1400000US06085509901","Census Tract 5099.01, Santa Clara County, California","764",
"1400000US06085509902","Census Tract 5099.02, Santa Clara County, California","1908",
"1400000US06085510001","Census Tract 5100.01, Santa Clara County, California","2136",
"1400000US06085510002","Census Tract 5100.02, Santa Clara County, California","1314",
"1400000US06085510100","Census Tract 5101, Santa Clara County, California","1109",
"1400000US06085510200","Census Tract 5102, Santa Clara County, California","1559",
"1400000US06085510300","Census Tract 5103, Santa Clara County, California","1765",
"1400000US06085510400","Census Tract 5104, Santa Clara County, California","1201",
"1400000US06085510500","Census Tract 5105, Santa Clara County, California","1975",
"1400000US06085510600","Census Tract 5106, Santa Clara County, California","2467",
"1400000US06085510700","Census Tract 5107, Santa Clara County, California","2098",
"1400000US06085510801","Census Tract 5108.01, Santa Clara County, California","2223",
"1400000US06085510802","Census Tract 5108.02, Santa Clara County, California","726",
"1400000US06085510803","Census Tract 5108.03, Santa Clara County, California","1063",
"1400000US06085510900","Census Tract 5109, Santa Clara County, California","2101",
"1400000US06085511000","Census Tract 5110, Santa Clara County, California","2489",
"1400000US06085511100","Census Tract 5111, Santa Clara County, California","1962",
"1400000US06085511200","Census Tract 5112, Santa Clara County, California","1866",
"1400000US06085511301","Census Tract 5113.01, Santa Clara County, California","1925",
"1400000US06085511302","Census Tract 5113.02, Santa Clara County, California","2509",
"1400000US06085511400","Census Tract 5114, Santa Clara County, California","1456",
"1400000US06085511500","Census Tract 5115, Santa Clara County, California","3179",
"1400000US06085511608","Census Tract 5116.08, Santa Clara County, California","111",
"1400000US06085511609","Census Tract 5116.09, Santa Clara County, California","2006",
"1400000US06085511701","Census Tract 5117.01, Santa Clara County, California","1522",
"1400000US06085511702","Census Tract 5117.02, Santa Clara County, California","981",
"1400000US06085511704","Census Tract 5117.04, Santa Clara County, California","1707",
"1400000US06085511705","Census Tract 5117.05, Santa Clara County, California","356",
"1400000US06085511707","Census Tract 5117.07, Santa Clara County, California","1314",
"1400000US06085511800","Census Tract 5118, Santa Clara County, California","1731",
"1400000US06085511905","Census Tract 5119.05, Santa Clara County, California","1103",
"1400000US06085511907","Census Tract 5119.07, Santa Clara County, California","1343",
"1400000US06085511909","Census Tract 5119.09, Santa Clara County, California","2645",
"1400000US06085511910","Census Tract 5119.10, Santa Clara County, California","1058",
"1400000US06085511911","Census Tract 5119.11, Santa Clara County, California","1864",
"1400000US06085511912","Census Tract 5119.12, Santa Clara County, California","1741",
"1400000US06085511913","Census Tract 5119.13, Santa Clara County, California","1443",
"1400000US06085511914","Census Tract 5119.14, Santa Clara County, California","1982",
"1400000US06085511915","Census Tract 5119.15, Santa Clara County, California","1271",
"1400000US06085511916","Census Tract 5119.16, Santa Clara County, California","1682",
"1400000US06085512001","Census Tract 5120.01, Santa Clara County, California","2022",
"1400000US06085512005","Census Tract 5120.05, Santa Clara County, California","2187",
"1400000US06085512017","Census Tract 5120.17, Santa Clara County, California","2166",
"1400000US06085512019","Census Tract 5120.19, Santa Clara County, California","1552",
"1400000US06085512020","Census Tract 5120.20, Santa Clara County, California","2646",
"1400000US06085512021","Census Tract 5120.21, Santa Clara County, California","2031",
"1400000US06085512022","Census Tract 5120.22, Santa Clara County, California","1810",
"1400000US06085512023","Census Tract 5120.23, Santa Clara County, California","1968",
"1400000US06085512024","Census Tract 5120.24, Santa Clara County, California","1710",
"1400000US06085512025","Census Tract 5120.25, Santa Clara County, California","1080",
"1400000US06085512026","Census Tract 5120.26, Santa Clara County, California","1350",
"1400000US06085512027","Census Tract 5120.27, Santa Clara County, California","1622",
